id,query_string,repository_id,repository_url,project_url,version,title,description,language,doi,upload_date,download_date,download_repository_folder,download_project_folder,download_version_folder,download_method
39,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-saldru-nidssd-2014-2015-v2.0.0,,National Income Dynamics Study Secure Data 2014-2015,,en,,2018-08-24T13:53:01+,2026-04-04T20:15:56.510544,datafirst,zaf-saldru-nidssd-2014-2015-v2.0.0,,API-CALL
40,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-idasa-afb-sa-2006-v1,,Afrobarometer Survey South Africa 2006,,en,,2011-12-12T14:16:37+,2026-04-04T20:16:00.043459,datafirst,zaf-idasa-afb-sa-2006-v1,,API-CALL
41,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-saldru-nidssd-2012-v3.0.0,,National Income Dynamics Study Secure Data 2012,,en,,2018-08-24T13:33:07+,2026-04-04T20:16:03.796379,datafirst,zaf-saldru-nidssd-2012-v3.0.0,,API-CALL
42,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/afr-afr20-2008-v1,,Afrobarometer Survey 2008,,en,,2012-01-16T12:59:29+,2026-04-04T20:16:07.486472,datafirst,afr-afr20-2008-v1,,API-CALL
43,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/afr-afr18-2005-2006-v1,,Afrobarometer Survey 2005-2006,,en,,2012-01-16T12:59:15+,2026-04-04T20:16:10.793568,datafirst,afr-afr18-2005-2006-v1,,API-CALL
44,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/gha-gss-glss6-2012-2013-v1.0,,"Ghana Living Standards Survey 2012-2013, Round 6",,en,,2021-02-22T10:26:10+,2026-04-04T20:16:14.219972,datafirst,gha-gss-glss6-2012-2013-v1.0,,API-CALL
45,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/afr-afr34-2016-2018-v1,,Afrobarometer Survey 2016-2018,,en,,2020-05-03T13:55:22+,2026-04-04T20:16:17.661160,datafirst,afr-afr34-2016-2018-v1,,API-CALL
46,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-saldru-nidssd-2008-v7.0.0,,National Income Dynamics Study Secure Data 2008,,en,,2018-08-24T12:41:52+,2026-04-04T20:16:21.491810,datafirst,zaf-saldru-nidssd-2008-v7.0.0,,API-CALL
47,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-idasa-afb-sa-2008-v1,,Afrobarometer Survey South Africa 2008,,en,,2015-08-31T10:39:34+,2026-04-04T20:16:25.223181,datafirst,zaf-idasa-afb-sa-2008-v1,,API-CALL
48,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-radar-image-2001-2003-v1.2,,Intervention with Microfinance for AIDS and Gender Equity 2001-2003,,en,,2014-03-25T12:50:09+,2026-04-04T20:16:28.712317,datafirst,zaf-radar-image-2001-2003-v1.2,,API-CALL
49,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/bwa-ut-bd-1963-1973-v1,,"Bushman Demography 1963-1973, Demography of the Dobe !Kung",,en,,2013-10-29T06:16:44+,2026-04-04T20:16:32.192475,datafirst,bwa-ut-bd-1963-1973-v1,,API-CALL
50,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-hsrc-dhs-1987-v1,,Demographic and Health Survey 1987,,en,,2014-08-27T13:18:28+,2026-04-04T20:16:35.610976,datafirst,zaf-hsrc-dhs-1987-v1,,API-CALL
51,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-hsrc-msa-2001-2002-v1,,Migration in South Africa 2001-2002,,en,,2013-02-11T12:24:33+,2026-04-04T20:16:38.953977,datafirst,zaf-hsrc-msa-2001-2002-v1,,API-CALL
52,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/ken-knbs-steps-2015-v1,,Kenya Stepwise Survey for Non Communicable Diseases Risk Factors 2015,,en,,2017-11-17T17:32:06+,2026-04-04T20:16:42.334664,datafirst,ken-knbs-steps-2015-v1,,API-CALL
53,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-statssa-tus-2000-v1,,Time Use Survey 2000,,en,,2012-01-06T15:57:18+,2026-04-04T20:16:45.818343,datafirst,zaf-statssa-tus-2000-v1,,API-CALL
54,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-doh-statssa-dhs-2016-v1,,Demographic and Health Survey 2016,,en,,2019-03-22T14:22:24+,2026-04-04T20:16:49.089486,datafirst,zaf-doh-statssa-dhs-2016-v1,,API-CALL
55,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-pu-kifs-2002-2005-v1,,Khayelitsha Integrated Family Survey 2002-2005,,en,,2009-07-06T13:23:43+,2026-04-04T20:16:52.543882,datafirst,zaf-pu-kifs-2002-2005-v1,,API-CALL
56,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-cssr-cas-2005-v1,,Cape Area Study 2005,,en,,2013-02-14T09:08:39+,2026-04-04T20:16:55.949424,datafirst,zaf-cssr-cas-2005-v1,,API-CALL
57,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/tan-ilo-pss-2001-v1,,"People's Security Survey 2001, Tanzania",,en,,2013-02-14T09:38:17+,2026-04-04T20:16:59.429958,datafirst,tan-ilo-pss-2001-v1,,API-CALL
58,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-sds-kids-2004-v1.1,,"Kwazulu-Natal Income Dynamics Study 2004, Wave 3",,en,,2013-02-11T08:39:18+,2026-04-04T20:17:02.913775,datafirst,zaf-sds-kids-2004-v1.1,,API-CALL
59,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-ilo-pss-2001-v1,,"People's Security Survey 2001, South Africa",,en,,2013-02-14T09:37:55+,2026-04-04T20:17:06.393612,datafirst,zaf-ilo-pss-2001-v1,,API-CALL
60,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-und-taca-1999-2002-v1,,Transitions to Adulthood in the Context of AIDS 1999-2002,,en,,2014-03-18T16:01:45+,2026-04-04T20:17:09.807753,datafirst,zaf-und-taca-1999-2002-v1,,API-CALL
61,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-wvsa-wvssa-1982-2013-v1,,World Values Survey South Africa 1982-2013,,en,,2014-04-07T14:03:55+,2026-04-04T20:17:13.354236,datafirst,zaf-wvsa-wvssa-1982-2013-v1,,API-CALL
62,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-daru-cnep-2015-v1,,"Comparative National Elections Project, South Africa 2015",,en,,2017-03-07T10:24:02+,2026-04-04T20:17:16.743060,datafirst,zaf-daru-cnep-2015-v1,,API-CALL
63,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-reep-tss-2017-2018-v1,,Township Smoking Study 2017-2018,,en,,2020-07-21T15:53:31+,2026-04-04T20:17:20.213662,datafirst,zaf-reep-tss-2017-2018-v1,,API-CALL
64,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-gbr-ug-su-expose-1998-2017-v1,,Explaining Population Trends in Cardiovascular Risk in South Africa and England 1998-2017,,en,,2024-09-11T11:04:26+,2026-04-04T20:17:23.774605,datafirst,zaf-gbr-ug-su-expose-1998-2017-v1,,API-CALL
65,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-spp-spps-1980-1981-v1,,Surplus People Project Survey 1980-1981,,en,,2016-11-07T14:58:17+,2026-04-04T20:17:27.287764,datafirst,zaf-spp-spps-1980-1981-v1,,API-CALL
66,"interview,qualitative,qdpx",1,https://datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/zaf-pu-aifs-2002-v1,,Agincourt Integrated Family Survey 2002,,en,,2012-09-14T13:15:49+,2026-04-04T20:17:30.738137,datafirst,zaf-pu-aifs-2002-v1,,API-CALL
